2025-06-10 23:21:12.770 [main] INFO  c.o.c.ChargingSystemApplication - Starting ChargingSystemApplication using Java 17.0.12 with PID 8456 (C:\Users\xiwei\Desktop\软件工程\ChargingSystem\target\classes started by xiwei in C:\Users\xiwei\Desktop\软件工程\ChargingSystem)
2025-06-10 23:45:30.679 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-06-10 23:45:30.721 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-10 23:45:31.327 [main] INFO  c.o.c.ChargingSystemApplication - Started ChargingSystemApplication in 1.979 seconds (process running for 2.476)
2025-06-10 23:45:31.343 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2025-06-10 23:45:31.462 [scheduling-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@48a14758
2025-06-10 23:45:31.463 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Start completed.
2025-06-10 23:45:35.933 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Shutdown initiated...
2025-06-10 23:45:35.938 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Shutdown completed.
2025-06-10 23:48:23.558 [main] INFO  c.o.c.ChargingSystemApplication - Starting ChargingSystemApplication using Java 17.0.12 with PID 21912 (C:\Users\xiwei\Desktop\软件工程\ChargingSystem\target\classes started by xiwei in C:\Users\xiwei\Desktop\软件工程\ChargingSystem)
2025-06-10 23:48:23.561 [main] INFO  c.o.c.ChargingSystemApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-10 23:48:24.364 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-10 23:48:24.364 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-06-10 23:48:24.400 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-10 23:48:24.984 [main] INFO  c.o.c.ChargingSystemApplication - Started ChargingSystemApplication in 1.842 seconds (process running for 2.324)
2025-06-10 23:48:25.002 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2025-06-10 23:48:25.107 [scheduling-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@48a14758
2025-06-10 23:48:25.108 [scheduling-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Start completed.
2025-06-10 23:49:29.973 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-10 23:49:37.074 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 开始获取所有充电桩队列的完整充电状态信息
2025-06-10 23:49:37.077 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 A 的完整队列信息：
2025-06-10 23:49:37.083 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 A - 用户ID: 1, 车牌号: 京A12345, 状态: WAITING_IN_CHARGING_AREA, 当前充电量: 0.00kWh, 目标充电量: 2.00kWh, 完成度: 0.0%, 队列位置: 1, 电费: 0.00元, 服务费: 0.00元, 总费用: 0.00元
2025-06-10 23:49:37.083 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 A 共有 1 个请求在队列中
2025-06-10 23:49:37.083 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 B 的完整队列信息：
2025-06-10 23:49:37.083 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 B 共有 0 个请求在队列中
2025-06-10 23:49:37.083 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 C 的完整队列信息：
2025-06-10 23:49:37.088 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 当前时间: 23:49:37.088604100
2025-06-10 23:49:37.089 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 找到当前时段(跨天): 23:00:00 - 07:00:00, 电价: 4.0
2025-06-10 23:49:37.090 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 费用计算: 充电量=0.0038888888888888888kWh, 电价=4.0元/度, 电费=0.015555555555555555元, 服务费=0.0031111111111111114元, 总费用=0.0186666666666666664元
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 C - 用户ID: 5, 车牌号: 京B26271, 状态: CHARGING, 当前充电量: 0.00kWh, 目标充电量: 2.00kWh, 完成度: 0.2%, 队列位置: 1, 电费: 0.02元, 服务费: 0.00元, 总费用: 0.02元
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 C 共有 1 个请求在队列中
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 D 的完整队列信息：
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 D 共有 0 个请求在队列中
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 E 的完整队列信息：
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 充电桩 E 共有 0 个请求在队列中
2025-06-10 23:49:37.092 [http-nio-8080-exec-4] INFO  c.o.c.c.ChargingPileController - 所有充电桩队列完整状态获取完成
2025-06-10 23:49:41.803 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 开始获取所有充电桩队列的完整充电状态信息
2025-06-10 23:49:41.807 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 充电桩 A 的完整队列信息：
2025-06-10 23:49:41.811 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 充电桩 A - 用户ID: 1, 车牌号: 京A12345, 状态: WAITING_IN_CHARGING_AREA, 当前充电量: 0.00kWh, 目标充电量: 2.00kWh, 完成度: 0.0%, 队列位置: 1, 电费: 0.00元, 服务费: 0.00元, 总费用: 0.00元
2025-06-10 23:49:41.812 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 充电桩 A 共有 1 个请求在队列中
2025-06-10 23:49:41.812 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 充电桩 B 的完整队列信息：
2025-06-10 23:49:41.812 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 充电桩 B 共有 0 个请求在队列中
2025-06-10 23:49:41.812 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 充电桩 C 的完整队列信息：
2025-06-10 23:49:41.815 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 当前时间: 23:49:41.815928200
2025-06-10 23:49:41.815 [http-nio-8080-exec-7] INFO  c.o.c.c.ChargingPileController - 找到当前时段(跨天): 23:00:00 - 07:00:00, 电价: 4.0
